Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
23090.4998919,220989.921875,228420.0,684145.25,335952.90625,-709067.0,330315.78125,236733.6875,-708300.375,-0.131591796875,0.988037109375,0.09228515625,-0.5798339247703552,2.502441167831421,-0.1220703050494194,66.66667175292969,1397863.0,1.0
23090.508641,221066.359375,228513.421875,684247.0,336078.53125,-709059.125,330419.25,236816.46875,-708292.125,-0.132080078125,0.98681640625,0.094482421875,-0.5493163466453552,2.532958745956421,-0.0610351525247097,66.66667175292969,1397864.0,1.0
23090.5116015,220701.046875,228203.28125,683916.125,335767.84375,-709068.5625,330169.0625,236491.390625,-708301.0,-0.1328125,0.98388671875,0.095703125,-0.5187987685203552,2.624511480331421,0.0,66.66667175292969,1397865.0,1.0
23090.5116341,220472.34375,227949.453125,683623.9375,335463.75,-709070.25,329944.75,236235.953125,-708302.5625,-0.133544921875,0.98388671875,0.092529296875,-0.5493163466453552,2.624511480331421,-0.0915527269244194,66.66667175292969,1397866.0,1.0
23090.522397,220839.8125,228253.96875,683944.1875,335760.59375,-709057.4375,330198.3125,236553.890625,-708289.875,-0.135009765625,0.98388671875,0.092041015625,-0.3356933295726776,2.593993902206421,-0.0915527269244194,66.66667175292969,1397867.0,1.0
23090.525335,221011.203125,228442.625,684151.0,335979.90625,-709055.75,330374.8125,236750.578125,-708288.4375,-0.1376953125,0.98583984375,0.09521484375,-0.3662109076976776,2.655029058456421,-0.0915527269244194,66.66667175292969,1397868.0,1.0
23090.5253514,221067.078125,228514.859375,684238.8125,336091.3125,-709054.3125,330463.84375,236821.75,-708286.9375,-0.1357421875,0.98583984375,0.09375,-0.2746581733226776,2.746581792831421,0.03051757626235485,66.66667175292969,1397869.0,1.0
23090.527239,220704.890625,228209.4375,683908.25,335779.0,-709061.3125,330212.0,236494.078125,-708293.9375,-0.134521484375,0.986572265625,0.095703125,-0.2746581733226776,2.624511480331421,0.03051757626235485,66.66667175292969,1397870.0,1.0
23090.5385825,220474.84375,227956.328125,683608.9375,335474.125,-709059.125,329985.78125,236237.65625,-708291.75,-0.1357421875,0.98681640625,0.09765625,-0.1831054538488388,2.716064214706421,0.0915527269244194,66.66667175292969,1397871.0,1.0
23090.5417003,220831.671875,228244.40625,683931.5625,335772.21875,-709051.875,330241.75,236555.859375,-708284.6875,-0.1396484375,0.987060546875,0.09814453125,-0.0915527269244194,2.655029058456421,0.0915527269244194,66.66667175292969,1397872.0,1.0
23090.5417167,220996.53125,228419.1875,684131.75,335983.125,-709055.1875,330413.59375,236742.625,-708287.3125,-0.138916015625,0.985595703125,0.0986328125,-0.0610351525247097,2.563476324081421,0.2136230319738388,66.66667175292969,1397873.0,1.0
23090.5498684,221062.25,228502.609375,684222.4375,336094.78125,-709052.5625,330504.4375,236811.734375,-708284.5,-0.139404296875,0.985595703125,0.09814453125,0.03051757626235485,2.655029058456421,0.1220703050494194,66.66667175292969,1397874.0,1.0
23090.5527518,220693.796875,228191.734375,683886.4375,335778.28125,-709060.5,330248.65625,236480.21875,-708292.5625,-0.14013671875,0.982421875,0.096923828125,0.03051757626235485,2.532958745956421,0.2441406100988388,66.66667175292969,1397875.0,1.0
23090.552775,220462.78125,227935.765625,683596.125,335473.59375,-709066.125,330023.78125,236225.5,-708298.375,-0.1416015625,0.981201171875,0.10107421875,0.1525878757238388,2.502441167831421,0.2746581733226776,66.66667175292969,1397876.0,1.0
23090.5548687,220817.8125,228227.5,683924.3125,335767.75,-709049.875,330276.375,236539.5,-708282.375,-0.141845703125,0.984130859375,0.097900390625,0.2441406100988388,2.441406011581421,0.3967284858226776,66.66667175292969,1397877.0,1.0
23090.5786369,220993.40625,228420.4375,684134.0,335983.9375,-709047.0625,330453.5625,236732.703125,-708280.25,-0.141357421875,0.986328125,0.09716796875,0.3967284858226776,2.349853277206421,0.3051757514476776,66.66667175292969,1397878.0,1.0
23090.5828856,221054.734375,228499.125,684227.0,336096.75,-709054.4375,330548.25,236805.921875,-708287.125,-0.13916015625,0.98779296875,0.09619140625,0.4272460639476776,2.410888433456421,0.3051757514476776,66.66667175292969,1397879.0,1.0
23090.582901,220688.078125,228183.6875,683891.8125,335780.78125,-709065.9375,330295.78125,236476.8125,-708297.9375,-0.13818359375,0.98974609375,0.09716796875,0.4577636420726776,2.258300542831421,0.4882812201976776,66.66667175292969,1397880.0,1.0
23090.5829049,220464.125,227939.25,683608.75,335476.28125,-709057.8125,330072.96875,236222.1875,-708289.6875,-0.138427734375,0.989990234375,0.094482421875,0.4577636420726776,2.166747808456421,0.3662109076976776,66.66667175292969,1397881.0,1.0
23090.582909,220825.59375,228243.78125,683935.0,335779.1875,-709047.25,330333.75,236543.875,-708279.9375,-0.138916015625,0.990966796875,0.0947265625,0.4272460639476776,2.105712652206421,0.1831054538488388,66.66667175292969,1397882.0,1.0
23090.5848448,220997.4375,228431.171875,684146.0625,335999.84375,-709049.3125,330515.71875,236742.53125,-708281.75,-0.136474609375,0.989013671875,0.09521484375,0.4272460639476776,1.9531248807907104,0.2746581733226776,66.66667175292969,1397883.0,1.0
23090.5874057,221062.875,228512.890625,684238.0,336114.71875,-709043.9375,330611.1875,236818.359375,-708276.5625,-0.136474609375,0.991455078125,0.09375,0.3662109076976776,1.9531248807907104,0.3967284858226776,66.66667175292969,1397884.0,1.0
23090.5898279,220693.09375,228195.3125,683895.625,335792.40625,-709066.3125,330350.84375,236483.25,-708298.8125,-0.1357421875,0.99169921875,0.093505859375,0.3356933295726776,1.8310545682907104,0.4882812201976776,66.66667175292969,1397885.0,1.0
23090.5959173,220463.765625,227942.75,683618.125,335482.8125,-709072.125,330124.71875,236226.5625,-708304.1875,-0.13427734375,0.989990234375,0.093994140625,0.2746581733226776,1.8615721464157104,0.5187987685203552,66.66667175292969,1397886.0,1.0
23090.6054767,220828.453125,228244.671875,683963.5625,335785.90625,-709058.1875,330389.03125,236551.46875,-708290.875,-0.133544921875,0.987548828125,0.09375,0.2441406100988388,1.8615721464157104,0.6103515028953552,66.66667175292969,1397887.0,1.0
23090.6054941,221000.203125,228432.875,684171.375,335999.5,-709051.25,330565.15625,236742.625,-708284.1875,-0.132080078125,0.990966796875,0.094970703125,0.1831054538488388,1.8615721464157104,0.6103515028953552,66.66667175292969,1397888.0,1.0
23090.6117419,221065.46875,228520.140625,684267.75,336113.3125,-709049.25,330661.25,236815.484375,-708282.3125,-0.133056640625,0.991455078125,0.09765625,0.1220703050494194,1.9226073026657104,0.6408690810203552,66.66667175292969,1397889.0,1.0
23090.6117572,220705.34375,228221.25,683941.5,335807.625,-709061.8125,330417.09375,236496.125,-708294.1875,-0.133056640625,0.991455078125,0.096435546875,0.1220703050494194,1.9531248807907104,0.6103515028953552,66.66667175292969,1397890.0,1.0
